Columna Original,Columna Final
ID_Paciente,ID_Paciente
id_paciente,ID_Paciente
UUID,UUID
Nombre,Nombre
Apellido_Paterno,Apellido_Paterno
Apellido_Materno,Apellido_Materno
Fecha_Nacimiento,Fecha_Nacimiento
Edad,Edad
edad,Edad
Sexo,Sexo
sexo,Sexo
CURP,CURP
RFC,RFC
Estado,Estado
Región_Socioeconómica,Región_Socioeconómica
Municipio,Municipio
Afiliación_Salud,Afiliación_Salud
Tipo_Sangre,Tipo_Sangre
Estatura_cm,Estatura_m
Estatura_m,Estatura_m
estatura_m,Estatura_m
Peso_kg,Peso_kg
peso_kg,Peso_kg
IMC,IMC
imc,IMC
Presion_Sistolica_mmHg,Presion_Sistolica
Presion_Sistolica,Presion_Sistolica
presion_sistolica,Presion_Sistolica
Presion_Arterial_Sistolica,Presion_Sistolica
Presion_Diastolica_mmHg,Presion_Diastolica
Presion_Diastolica,Presion_Diastolica
presion_diastolica,Presion_Diastolica
Frecuencia_Cardiaca_lpm,Frecuencia_Cardiaca
Frecuencia_Cardiaca,Frecuencia_Cardiaca
frecuencia_cardiaca,Frecuencia_Cardiaca
Temperatura_C,Temperatura_C
CIE10_Diagnostico,CIE10_Diagnostico
Diagnostico_Principal,Diagnostico_Principal
Especialidad_Destino,Especialidad_Destino
Fecha_Ultima_Consulta,Fecha_Ultima_Consulta
Costo_Consulta_MXN,Costo_Consulta_MXN
Genero,Genero
genero,Genero
Latitud,Latitud
latitud,Latitud
Longitud,Longitud
longitud,Longitud
Glucosa_mgdl,glucosa
glucosa_mg_dl,glucosa
Glucosa_mg_dl,glucosa
glucosa,glucosa
Colesterol_Total,colesterol
colesterol_mg_dl,colesterol
Colesterol_mg_dl,colesterol
colesterol,colesterol
Fumador,Fumador
fumador,Fumador
Historial_Familiar,Historial_Familiar
Actividad_Fisica,Actividad_Fisica
actividad_fisica_hrs,Actividad_Fisica
actividad_fisica,Actividad_Fisica
Riesgo_Cardio,Riesgo_Cardio
altura_cm,altura_cm
Consume_Alcohol,Consume_Alcohol
Diabetes,Diabetes
diabetes,Diabetes
Hipertension,Hipertension
hipertension,Hipertension
Antecedentes_Familiares,antecedente_familiar
antecedente_familiar,antecedente_familiar
trigliceridos,trigliceridos
oxigenacion,oxigenacion
riesgo,riesgo
